species,stressor,vuln,iucn_sid,src,map_f
balaena mysticetus,air_temp,0,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,air_temp,0,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,air_temp,0,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,air_temp,0,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,biomass_removal,0.81559,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,biomass_removal,0.81559,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,biomass_removal,0.81559,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,biomass_removal,0.81559,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,bycatch,0.81559,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,bycatch,0.81559,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,bycatch,0.81559,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,bycatch,0.81559,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,entanglement_macroplastic,0.69881,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,entanglement_macroplastic,0.69881,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,entanglement_macroplastic,0.69881,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,entanglement_macroplastic,0.69881,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,eutrophication_nutrient_pollution,0.23152,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,eutrophication_nutrient_pollution,0.23152,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,eutrophication_nutrient_pollution,0.23152,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,eutrophication_nutrient_pollution,0.23152,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,habitat_loss_degradation,0.14122,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,habitat_loss_degradation,0.14122,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,habitat_loss_degradation,0.14122,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,habitat_loss_degradation,0.14122,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,inorganic_pollution,0.14851,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,inorganic_pollution,0.14851,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,inorganic_pollution,0.14851,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,inorganic_pollution,0.14851,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,invasive_species,0,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,invasive_species,0,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,invasive_species,0,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,invasive_species,0,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,light_pollution,0.23997,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,light_pollution,0.23997,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,light_pollution,0.23997,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,light_pollution,0.23997,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,marine_heat_waves,0.2439,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,marine_heat_waves,0.2439,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
